Viral Fever,A common viral infection causing fever headache and body pain.
Common Cold,A mild viral respiratory illness with cough cold and sore throat.
Gastroenteritis,An intestinal infection causing stomach pain diarrhea and nausea.
Arthritis,A condition causing joint pain stiffness and inflammation.
Respiratory Infection,Infection affecting lungs and airways causing cough and breathlessness.
General Weakness,A feeling of tiredness fatigue and lack of energy.
Heart Condition,A serious condition involving chest pain and breathing difficulty.
Flu,A viral infection causing fever headache cough and fatigue.
Food Poisoning,Illness caused by contaminated food leading to vomiting and nausea.
Allergy,An immune reaction causing sneezing cold or itching.
